-e Time,			total,	used,	free,	cache
-e 14-12-17 08:42:04,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:42:08,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:42:12,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:42:15,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:42:19,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:42:22,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:42:26,	 0k,	 0k,	 0k,	 1577392k
-e 14-12-17 08:42:29,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:42:33,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:42:36,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:42:40,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:42:43,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:42:47,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:42:51,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:42:54,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:42:58,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:43:01,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:43:05,	 0k,	 0k,	 0k,	 1577404k
-e 14-12-17 08:43:08,	 0k,	 0k,	 0k,	 1577404k
-e 14-12-17 08:43:12,	 0k,	 0k,	 0k,	 1577404k
-e 14-12-17 08:43:15,	 0k,	 0k,	 0k,	 1577396k
-e 14-12-17 08:43:19,	 0k,	 0k,	 0k,	 1577404k
-e 14-12-17 08:43:22,	 0k,	 0k,	 0k,	 1577404k
-e 14-12-17 08:43:26,	 0k,	 0k,	 0k,	 1577404k
-e 14-12-17 08:43:30,	 0k,	 0k,	 0k,	 1577404k
-e 14-12-17 08:43:33,	 0k,	 0k,	 0k,	 1577404k
-e 14-12-17 08:43:37,	 0k,	 0k,	 0k,	 1577404k
-e 14-12-17 08:43:40,	 0k,	 0k,	 0k,	 1577404k
-e 14-12-17 08:43:44,	 0k,	 0k,	 0k,	 1577408k
-e 14-12-17 08:43:47,	 0k,	 0k,	 0k,	 1577408k
-e 14-12-17 08:43:51,	 0k,	 0k,	 0k,	 1577408k
-e 14-12-17 08:43:54,	 0k,	 0k,	 0k,	 1577408k
-e 14-12-17 08:43:58,	 0k,	 0k,	 0k,	 1577408k
-e 14-12-17 08:44:01,	 0k,	 0k,	 0k,	 1577408k
-e 14-12-17 08:44:05,	 0k,	 0k,	 0k,	 1577408k
-e 14-12-17 08:44:08,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:44:12,	 0k,	 0k,	 0k,	 1577408k
-e 14-12-17 08:44:16,	 0k,	 0k,	 0k,	 1577404k
-e 14-12-17 08:44:19,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:44:23,	 0k,	 0k,	 0k,	 1577408k
-e 14-12-17 08:44:26,	 0k,	 0k,	 0k,	 1577408k
-e 14-12-17 08:44:30,	 0k,	 0k,	 0k,	 1577408k
-e 14-12-17 08:44:33,	 0k,	 0k,	 0k,	 1577408k
-e 14-12-17 08:44:37,	 0k,	 0k,	 0k,	 1577408k
-e 14-12-17 08:44:40,	 0k,	 0k,	 0k,	 1577404k
-e 14-12-17 08:44:44,	 0k,	 0k,	 0k,	 1577408k
-e 14-12-17 08:44:47,	 0k,	 0k,	 0k,	 1577408k
-e 14-12-17 08:44:51,	 0k,	 0k,	 0k,	 1577408k
-e 14-12-17 08:44:55,	 0k,	 0k,	 0k,	 1577408k
-e 14-12-17 08:44:58,	 0k,	 0k,	 0k,	 1577408k
-e 14-12-17 08:45:02,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:45:05,	 0k,	 0k,	 0k,	 1577408k
-e 14-12-17 08:45:09,	 0k,	 0k,	 0k,	 1577404k
-e 14-12-17 08:45:12,	 0k,	 0k,	 0k,	 1577404k
-e 14-12-17 08:45:16,	 0k,	 0k,	 0k,	 1577412k
-e 14-12-17 08:45:19,	 0k,	 0k,	 0k,	 1577412k
-e 14-12-17 08:45:23,	 0k,	 0k,	 0k,	 1577416k
-e 14-12-17 08:45:26,	 0k,	 0k,	 0k,	 1577416k
-e 14-12-17 08:45:30,	 0k,	 0k,	 0k,	 1577416k
-e 14-12-17 08:45:34,	 0k,	 0k,	 0k,	 1577416k
-e 14-12-17 08:45:37,	 0k,	 0k,	 0k,	 1577420k
-e 14-12-17 08:45:41,	 0k,	 0k,	 0k,	 1577420k
-e 14-12-17 08:45:44,	 0k,	 0k,	 0k,	 1577420k
-e 14-12-17 08:45:48,	 0k,	 0k,	 0k,	 1577420k
-e 14-12-17 08:45:51,	 0k,	 0k,	 0k,	 1577420k
-e 14-12-17 08:45:55,	 0k,	 0k,	 0k,	 1577420k
-e 14-12-17 08:45:58,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:46:02,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:46:05,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:46:09,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:46:12,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:46:16,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:46:20,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:46:23,	 0k,	 0k,	 0k,	 1577416k
-e 14-12-17 08:46:27,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:46:30,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:46:34,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:46:37,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:46:41,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:46:44,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:46:48,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:46:51,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:46:55,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:46:59,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:47:02,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:47:06,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:47:09,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:47:13,	 0k,	 0k,	 0k,	 1577416k
-e 14-12-17 08:47:16,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:47:20,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:47:23,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:47:27,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:47:30,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:47:34,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:47:38,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:47:41,	 0k,	 0k,	 0k,	 1577428k
