-e Time,			IN(KBytes/s),	OUT(KByte/s)
-e 2014-12-17 08:36:10,	0,		0
-e 2014-12-17 08:36:11,	0,		0
-e 2014-12-17 08:36:12,	0,		0
-e 2014-12-17 08:36:13,	0,		0
-e 2014-12-17 08:36:14,	0,		0
-e 2014-12-17 08:36:15,	0,		0
-e 2014-12-17 08:36:16,	0,		0
-e 2014-12-17 08:36:17,	0,		0
-e 2014-12-17 08:36:18,	0,		0
-e 2014-12-17 08:36:19,	0,		0
-e 2014-12-17 08:36:20,	0,		0
-e 2014-12-17 08:36:21,	0,		0
-e 2014-12-17 08:36:22,	0,		0
-e 2014-12-17 08:36:23,	0,		0
-e 2014-12-17 08:36:24,	0,		0
-e 2014-12-17 08:36:25,	0,		0
-e 2014-12-17 08:36:26,	0,		0
-e 2014-12-17 08:36:27,	0,		0
-e 2014-12-17 08:36:28,	0,		0
-e 2014-12-17 08:36:29,	0,		0
-e 2014-12-17 08:36:30,	0,		0
-e 2014-12-17 08:36:31,	0,		0
-e 2014-12-17 08:36:32,	0,		0
-e 2014-12-17 08:36:33,	0,		0
-e 2014-12-17 08:36:34,	0,		0
-e 2014-12-17 08:36:35,	0,		0
-e 2014-12-17 08:36:36,	0,		0
-e 2014-12-17 08:36:37,	0,		0
-e 2014-12-17 08:36:38,	0,		0
-e 2014-12-17 08:36:39,	0,		0
-e 2014-12-17 08:36:40,	0,		0
-e 2014-12-17 08:36:41,	0,		0
-e 2014-12-17 08:36:42,	0,		0
-e 2014-12-17 08:36:43,	0,		0
-e 2014-12-17 08:36:44,	0,		0
-e 2014-12-17 08:36:45,	0,		0
-e 2014-12-17 08:36:46,	0,		0
-e 2014-12-17 08:36:47,	0,		0
-e 2014-12-17 08:36:48,	0,		0
-e 2014-12-17 08:36:49,	0,		0
-e 2014-12-17 08:36:50,	0,		0
-e 2014-12-17 08:36:51,	0,		0
-e 2014-12-17 08:36:52,	0,		0
-e 2014-12-17 08:36:53,	0,		0
-e 2014-12-17 08:36:54,	0,		0
-e 2014-12-17 08:36:55,	0,		0
-e 2014-12-17 08:36:56,	0,		0
-e 2014-12-17 08:36:57,	0,		0
-e 2014-12-17 08:36:58,	0,		0
-e 2014-12-17 08:36:59,	0,		0
-e 2014-12-17 08:37:00,	0,		0
-e 2014-12-17 08:37:01,	0,		0
-e 2014-12-17 08:37:02,	0,		0
-e 2014-12-17 08:37:03,	0,		0
-e 2014-12-17 08:37:04,	0,		0
-e 2014-12-17 08:37:05,	0,		0
-e 2014-12-17 08:37:06,	0,		0
-e 2014-12-17 08:37:07,	0,		0
-e 2014-12-17 08:37:08,	0,		0
-e 2014-12-17 08:37:09,	0,		0
-e 2014-12-17 08:37:10,	0,		0
-e 2014-12-17 08:37:11,	0,		0
-e 2014-12-17 08:37:12,	0,		0
-e 2014-12-17 08:37:13,	0,		0
-e 2014-12-17 08:37:14,	0,		0
-e 2014-12-17 08:37:15,	0,		0
-e 2014-12-17 08:37:16,	0,		0
-e 2014-12-17 08:37:17,	0,		0
-e 2014-12-17 08:37:18,	0,		0
-e 2014-12-17 08:37:19,	0,		0
-e 2014-12-17 08:37:20,	0,		0
-e 2014-12-17 08:37:21,	0,		0
-e 2014-12-17 08:37:22,	0,		0
-e 2014-12-17 08:37:23,	0,		0
-e 2014-12-17 08:37:24,	0,		0
-e 2014-12-17 08:37:25,	0,		0
-e 2014-12-17 08:37:27,	0,		0
-e 2014-12-17 08:37:28,	0,		0
-e 2014-12-17 08:37:29,	0,		0
-e 2014-12-17 08:37:30,	0,		0
-e 2014-12-17 08:37:31,	0,		0
-e 2014-12-17 08:37:32,	0,		0
-e 2014-12-17 08:37:33,	0,		0
-e 2014-12-17 08:37:34,	0,		0
-e 2014-12-17 08:37:35,	0,		0
-e 2014-12-17 08:37:36,	0,		0
-e 2014-12-17 08:37:37,	0,		0
-e 2014-12-17 08:37:38,	0,		0
-e 2014-12-17 08:37:39,	0,		0
-e 2014-12-17 08:37:40,	0,		0
-e 2014-12-17 08:37:41,	0,		0
-e 2014-12-17 08:37:42,	0,		0
-e 2014-12-17 08:37:43,	0,		0
-e 2014-12-17 08:37:44,	0,		0
-e 2014-12-17 08:37:45,	0,		0
-e 2014-12-17 08:37:46,	0,		0
-e 2014-12-17 08:37:47,	0,		0
-e 2014-12-17 08:37:48,	0,		0
-e 2014-12-17 08:37:49,	0,		0
-e 2014-12-17 08:37:50,	0,		0
-e 2014-12-17 08:37:51,	0,		0
-e 2014-12-17 08:37:52,	0,		0
-e 2014-12-17 08:37:53,	0,		0
-e 2014-12-17 08:37:54,	0,		0
-e 2014-12-17 08:37:55,	0,		0
-e 2014-12-17 08:37:56,	0,		0
-e 2014-12-17 08:37:57,	0,		0
-e 2014-12-17 08:37:58,	0,		0
-e 2014-12-17 08:37:59,	0,		0
-e 2014-12-17 08:38:00,	0,		0
-e 2014-12-17 08:38:01,	0,		0
-e 2014-12-17 08:38:02,	0,		0
-e 2014-12-17 08:38:03,	0,		0
-e 2014-12-17 08:38:04,	0,		0
-e 2014-12-17 08:38:05,	0,		0
-e 2014-12-17 08:38:06,	0,		0
-e 2014-12-17 08:38:07,	0,		0
-e 2014-12-17 08:38:08,	0,		0
-e 2014-12-17 08:38:09,	0,		0
-e 2014-12-17 08:38:10,	0,		0
-e 2014-12-17 08:38:11,	0,		0
-e 2014-12-17 08:38:12,	0,		0
-e 2014-12-17 08:38:13,	0,		0
-e 2014-12-17 08:38:14,	0,		0
-e 2014-12-17 08:38:15,	0,		0
-e 2014-12-17 08:38:16,	0,		0
-e 2014-12-17 08:38:17,	0,		0
-e 2014-12-17 08:38:18,	0,		0
-e 2014-12-17 08:38:19,	0,		0
-e 2014-12-17 08:38:20,	0,		0
-e 2014-12-17 08:38:21,	0,		0
-e 2014-12-17 08:38:22,	0,		0
-e 2014-12-17 08:38:23,	0,		0
-e 2014-12-17 08:38:24,	0,		0
