-e Time,			us,	sy,	ni,	id,	wa
-e 14-12-17 08:40:12,	 0.0%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:40:16,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:40:19,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:40:23,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:40:27,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:40:30,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:40:34,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:40:37,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:40:41,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:40:44,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:40:48,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:40:51,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:40:55,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:40:58,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:41:02,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:41:06,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:41:09,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:41:13,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:41:16,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:41:20,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:41:23,	 0.0%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:41:27,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:41:30,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:41:34,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:41:38,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:41:41,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
